time,x,y,vx,vy,yaw
1716570057.396958,1.181800,-0.167108,-0.448545,0.250923,0.170532
1716570057.410061,1.206187,-0.156500,1.861286,0.809617,0.181796
1716570057.420060,1.214995,-0.151680,0.000000,0.000000,0.189962
1716570057.436349,1.207758,-0.144928,-0.444273,0.414505,0.198645
1716570057.470506,1.166970,-0.130846,-1.194157,0.412254,0.212070
1716570057.485305,1.120675,-0.127614,-3.128177,0.218424,0.216061
1716570057.495080,1.199001,-0.087996,0.000000,0.000000,0.248844
1716570057.510065,1.166922,-0.086732,-2.140755,0.084312,0.249895
1716570057.520063,1.181920,-0.076250,0.000000,0.000000,0.271922
1716570057.530047,1.160539,-0.075450,0.000000,0.000000,0.272623
1716570057.545047,1.144493,-0.077471,-1.069761,-0.134735,0.271534
1716570057.560064,1.143568,-0.070140,-0.061609,0.488160,0.284315
1716570057.570113,1.122527,-0.069225,-2.093766,0.091094,0.285052
1716570057.586294,1.140167,-0.048394,1.090165,1.287362,0.319498
1716570057.595055,1.190114,-0.030436,0.000000,0.000000,0.350102
1716570057.610062,1.245427,0.066677,3.685769,6.471144,0.391053
1716570057.620087,1.224506,0.067858,-2.086811,0.117797,0.391980
1716570057.636325,1.187712,0.069847,-2.265942,0.122500,0.393425
1716570057.660063,1.157476,0.077065,-1.273733,0.304070,0.403587
1716570057.670047,1.211820,0.111138,0.000000,0.000000,0.435462
1716570057.685071,1.189696,0.103981,-1.472549,-0.476422,0.436962
1716570057.695086,1.169583,0.103531,-2.008245,-0.044889,0.436504
1716570057.720054,1.155947,0.120090,-0.546144,0.663207,0.442791
1716570057.735817,1.157827,0.141364,0.119285,1.349678,0.467808
1716570057.745052,1.162965,0.157253,0.000000,0.000000,0.474403
1716570057.760051,1.133585,0.156919,-1.958657,-0.022250,0.474146
1716570057.770068,1.131266,0.164432,-0.231572,0.749995,0.481681
1716570057.785077,1.095903,0.177666,-2.356139,0.881731,0.490903
1716570057.795056,1.076911,0.178170,0.000000,0.000000,0.491440
1716570057.810071,1.048337,0.178891,-1.903112,0.047997,0.492248
1716570057.820063,1.054869,0.191098,0.000000,0.000000,0.504225
1716570057.836004,1.109706,0.224802,3.440035,2.114313,0.528717
1716570057.845045,1.163991,0.262998,0.000000,0.000000,0.552258
1716570057.860098,1.175355,0.285401,0.754981,1.488339,0.569665
1716570057.870088,1.156723,0.285856,0.000000,0.000000,0.569969
1716570057.937169,1.026352,0.278001,-1.943480,-0.117095,0.566970
1716570057.960061,1.061263,0.321932,1.525002,1.919015,0.595564
1716570057.970209,1.070608,0.338048,0.920946,1.588162,0.603696
1716570057.985917,1.085345,0.360948,0.938203,1.457911,0.621330
1716570057.995047,1.097761,0.381471,0.000000,0.000000,0.630031
1716570058.010063,1.070728,0.378483,-1.800345,-0.198991,0.627466
1716570058.020055,1.067574,0.386031,0.000000,0.000000,0.632582
1716570058.035913,1.023035,0.378853,-2.808568,-0.452670,0.628117
1716570058.045046,1.077766,0.430553,0.000000,0.000000,0.657820
1716570058.060087,1.050663,0.426806,-1.801949,-0.249089,0.654607
1716570058.085893,1.006884,0.423695,-1.696452,-0.120570,0.658332
1716570058.095073,0.990280,0.420937,0.000000,0.000000,0.655901
1716570058.110080,1.034039,0.473055,2.915824,3.472842,0.675702
1716570058.120051,1.016139,0.470115,0.000000,0.000000,0.673062
1716570058.145048,0.992449,0.459942,-0.947696,-0.406981,0.662011
1716570058.160058,0.965941,0.453956,-1.766058,-0.398752,0.656179
1716570058.170056,1.003801,0.496439,0.000000,0.000000,0.682977
1716570058.186355,0.965585,0.473398,-2.344755,-1.413686,0.668812
1716570058.210083,0.939890,0.465609,-1.082876,-0.328249,0.659724
1716570058.220061,0.923168,0.458888,0.000000,0.000000,0.652812
1716570058.230019,0.906444,0.452432,0.000000,0.000000,0.645912
1716570058.245049,0.904464,0.424291,-0.131713,-1.872380,0.633004
1716570058.260062,0.877303,0.409783,-1.809088,-0.966320,0.618437
1716570058.270048,0.917408,0.447259,0.000000,0.000000,0.650314
1716570058.286178,0.926030,0.469219,0.534553,1.361435,0.652854
1716570058.295072,0.943006,0.479572,0.000000,0.000000,0.663672
1716570058.310055,0.932538,0.467735,-0.698667,-0.789981,0.653631
1716570058.320060,0.917502,0.455378,-1.502835,-1.235125,0.641000
1716570058.337056,0.893940,0.436674,-1.386304,-1.100460,0.631025
1716570058.360050,0.927790,0.453959,1.472133,0.751732,0.665223
1716570058.370079,0.913247,0.440749,-1.450044,-1.317149,0.651885
1716570058.410061,0.863563,0.357800,-1.242684,-2.074704,0.589694
1716570058.420096,0.912769,0.380626,4.903391,2.274620,0.627718
1716570058.437122,0.884484,0.334295,-1.661232,-2.721116,0.591444
1716570058.460055,0.867770,0.301813,-0.728826,-1.416376,0.566002
1716570058.470272,0.853524,0.285194,-1.394382,-1.626665,0.548892
1716570058.487138,0.823351,0.285578,-1.788965,0.022755,0.559951
1716570058.510055,0.790849,0.252840,-1.418275,-1.428539,0.527768
1716570058.520051,0.788835,0.244729,0.000000,0.000000,0.525291
1716570058.530057,0.774261,0.231462,-1.456539,-1.325898,0.511240
1716570058.545144,0.903526,0.319188,8.568032,5.814741,0.607267
1716570058.560064,0.894982,0.307666,-0.572687,-0.772316,0.601657
1716570058.580051,0.887706,0.294340,-0.364027,-0.666719,0.598047
1716570058.595044,0.878352,0.293225,-0.623883,-0.074374,0.596562
1716570058.610068,0.907908,0.305046,1.967288,0.786847,0.631130
1716570058.620049,0.914671,0.304136,0.000000,0.000000,0.641859
1716570058.630053,0.901773,0.292867,-1.289240,-1.126430,0.631653
1716570058.645043,0.909557,0.280103,0.519236,-0.851517,0.630121
1716570058.660067,0.891139,0.261911,-1.225911,-1.210883,0.613567
1716570058.670055,0.956235,0.325576,0.000000,0.000000,0.663458
1716570058.680048,0.957131,0.320483,0.000000,0.000000,0.666121
1716570058.695048,0.949228,0.305171,-0.526908,-1.020842,0.652635
1716570058.711290,0.936710,0.286148,-0.770735,-1.171219,0.647896
1716570058.720049,0.926688,0.275738,0.000000,0.000000,0.638607
1716570058.736607,0.965450,0.294493,2.341023,1.132712,0.685273
1716570058.760063,0.938824,0.268453,-1.135149,-1.110184,0.662784
1716570058.770048,0.951392,0.283270,0.000000,0.000000,0.669004
1716570058.786096,0.959148,0.288878,0.483315,0.349432,0.688767
1716570058.795059,0.961319,0.285978,0.000000,0.000000,0.692906
1716570058.810069,0.961936,0.286244,0.041136,0.017721,0.687473
1716570058.820060,0.950716,0.275297,0.000000,0.000000,0.677761
1716570058.845045,0.935196,0.252069,-0.621184,-0.929720,0.666885
1716570058.860085,0.957012,0.258436,1.450550,0.423366,0.692545
1716570058.870045,0.963861,0.258152,0.000000,0.000000,0.700914
