# x_m,y_m,w_tr_right_m,w_tr_left_m
1.7557,1.9857,0.8078,0.8078
1.7057,1.9857,0.8276,0.8276
1.7557,1.9357,0.8544,0.8544
1.8057,1.9857,0.7906,0.7906
1.8557,1.9857,0.7762,0.7762
1.9057,1.9857,0.7616,0.7616
1.9557,1.9857,0.7433,0.7433
1.9057,1.9357,0.8078,0.8078
1.8557,1.9357,0.8246,0.8246
1.8057,1.9357,0.8382,0.8382
1.8557,1.8857,0.8732,0.8732
1.9057,1.8857,0.8544,0.8544
1.9557,1.9357,0.7906,0.7906
2.0057,1.9357,0.7762,0.7762
2.0557,1.9357,0.7649,0.7649
2.1057,1.9357,0.7566,0.7566
2.1557,1.9357,0.7433,0.7433
2.1057,1.8857,0.8062,0.8062
2.0557,1.8857,0.8139,0.8139
2.0057,1.8857,0.8246,0.8246
1.9557,1.8857,0.8382,0.8382
2.0057,1.8357,0.8500,0.8500
2.0557,1.8357,0.8500,0.8500
2.1057,1.8357,0.8500,0.8500
2.1557,1.8857,0.7906,0.7906
2.2057,1.8857,0.7762,0.7762
2.2557,1.8857,0.7649,0.7649
2.3057,1.8857,0.7566,0.7566
2.3557,1.8857,0.7517,0.7517
2.4057,1.8857,0.7500,0.7500
2.4557,1.8857,0.7500,0.7500
2.5057,1.8857,0.7500,0.7500
2.5557,1.8857,0.7500,0.7500
2.6057,1.8857,0.7500,0.7500
2.6557,1.8857,0.7500,0.7500
2.7057,1.8857,0.7500,0.7500
2.7557,1.8857,0.7500,0.7500
2.8057,1.8857,0.7500,0.7500
2.8557,1.8857,0.7500,0.7500
2.9057,1.8857,0.7500,0.7500
2.9557,1.8857,0.7500,0.7500
3.0057,1.8857,0.7500,0.7500
2.9557,1.8357,0.8000,0.8000
2.9057,1.8357,0.8000,0.8000
2.8557,1.8357,0.8000,0.8000
2.8057,1.8357,0.8000,0.8000
2.7557,1.8357,0.8000,0.8000
2.7057,1.8357,0.8000,0.8000
2.6557,1.8357,0.8000,0.8000
2.6057,1.8357,0.8000,0.8000
2.5557,1.8357,0.8000,0.8000
2.5057,1.8357,0.8000,0.8000
2.4557,1.8357,0.8000,0.8000
2.4057,1.8357,0.8000,0.8000
2.3557,1.8357,0.8016,0.8016
2.3057,1.8357,0.8062,0.8062
2.2557,1.8357,0.8139,0.8139
2.2057,1.8357,0.8246,0.8246
2.1557,1.8357,0.8382,0.8382
2.2057,1.7857,0.8000,0.8000
2.2557,1.7857,0.8000,0.8000
2.3057,1.7857,0.8000,0.8000
2.3557,1.7857,0.8000,0.8000
2.4057,1.7857,0.8000,0.8000
2.4557,1.7857,0.8000,0.8000
2.5057,1.7857,0.8000,0.8000
2.5557,1.7857,0.8000,0.8000
2.6057,1.7857,0.8000,0.8000
2.6557,1.7857,0.8000,0.8000
2.7057,1.7857,0.8000,0.8000
2.7557,1.7857,0.8000,0.8000
2.8057,1.7857,0.8000,0.8000
2.8557,1.7857,0.8000,0.8000
2.9057,1.7857,0.8000,0.8000
2.9557,1.7857,0.8000,0.8000
3.0057,1.8357,0.8000,0.8000
3.0557,1.8357,0.8000,0.8000
3.1057,1.8357,0.8000,0.8000
3.1557,1.8357,0.8000,0.8000
3.1057,1.7857,0.8016,0.8016
3.0557,1.7857,0.8000,0.8000
3.0057,1.7857,0.8000,0.8000
3.0557,1.7357,0.7500,0.7500
3.1057,1.7357,0.7517,0.7517
3.1557,1.7857,0.8062,0.8062
3.2057,1.7857,0.8139,0.8139
3.2557,1.7857,0.8246,0.8246
3.2057,1.7357,0.7649,0.7649
3.1557,1.7357,0.7566,0.7566
3.2057,1.6857,0.7159,0.7159
3.2557,1.7357,0.7762,0.7762
3.3057,1.7357,0.7906,0.7906
3.3557,1.7357,0.8078,0.8078
3.3057,1.6857,0.7433,0.7433
3.2557,1.6857,0.7280,0.7280
3.3057,1.6357,0.6964,0.6964
3.3557,1.6857,0.7616,0.7616
3.4057,1.6857,0.7826,0.7826
3.4557,1.6857,0.8062,0.8062
3.4057,1.6357,0.7382,0.7382
3.3557,1.6357,0.7159,0.7159
3.4057,1.5857,0.6946,0.6946
3.4557,1.6357,0.7632,0.7632
3.5057,1.6357,0.7906,0.7906
3.5557,1.6357,0.8201,0.8201
3.5057,1.5857,0.7500,0.7500
3.4557,1.5857,0.7211,0.7211
3.5057,1.5357,0.7106,0.7106
3.5557,1.5857,0.7810,0.7810
3.6057,1.5857,0.8139,0.8139
3.5557,1.5357,0.7433,0.7433
3.6057,1.5357,0.7778,0.7778
3.6557,1.5357,0.8139,0.8139
3.6057,1.4857,0.7433,0.7433
3.6557,1.4857,0.7810,0.7810
3.7057,1.4857,0.8201,0.8201
3.6557,1.4357,0.7500,0.7500
3.7057,1.4357,0.7906,0.7906
3.7557,1.4357,0.8322,0.8322
3.7057,1.3857,0.7632,0.7632
3.6557,1.3857,0.7211,0.7211
3.7057,1.3357,0.7382,0.7382
3.7557,1.3857,0.8062,0.8062
3.7557,1.3357,0.7826,0.7826
3.8057,1.3357,0.8276,0.8276
3.7557,1.2857,0.7616,0.7616
3.7057,1.2857,0.7159,0.7159
3.7557,1.2357,0.7433,0.7433
3.8057,1.2857,0.8078,0.8078
3.8057,1.2357,0.7906,0.7906
3.8557,1.2357,0.8382,0.8382
3.8057,1.1857,0.7762,0.7762
3.7557,1.1857,0.7280,0.7280
3.8057,1.1357,0.7649,0.7649
3.8557,1.1857,0.8246,0.8246
3.8557,1.1357,0.8139,0.8139
3.9057,1.1357,0.8500,0.8500
3.8557,1.0857,0.8062,0.8062
3.8057,1.0857,0.7566,0.7566
3.8557,1.0357,0.8016,0.8016
3.9057,1.0857,0.8500,0.8500
3.9057,1.0357,0.8515,0.8515
3.9557,1.0357,0.8016,0.8016
3.9057,0.9857,0.8500,0.8500
3.8557,0.9857,0.8000,0.8000
3.8557,0.9357,0.8000,0.8000
3.9057,0.9357,0.8500,0.8500
3.9557,0.9857,0.8062,0.8062
3.9557,0.9357,0.8139,0.8139
3.9057,0.8857,0.8500,0.8500
3.8557,0.8857,0.8000,0.8000
3.8557,0.8357,0.8016,0.8016
3.9057,0.8357,0.8515,0.8515
3.9557,0.8857,0.8246,0.8246
3.9557,0.8357,0.8382,0.8382
3.9057,0.7857,0.8559,0.8559
3.8557,0.7857,0.8062,0.8062
3.8057,0.7357,0.7649,0.7649
3.8557,0.7357,0.8139,0.8139
3.9057,0.7357,0.8631,0.8631
3.9557,0.7857,0.8500,0.8500
3.8557,0.6857,0.8246,0.8246
3.8057,0.6857,0.7762,0.7762
3.7557,0.6357,0.7433,0.7433
3.8057,0.6357,0.7906,0.7906
3.8557,0.6357,0.8382,0.8382
3.9057,0.6857,0.8732,0.8732
3.8057,0.5857,0.8078,0.8078
3.7557,0.5857,0.7616,0.7616
3.7057,0.5357,0.7382,0.7382
3.7557,0.5357,0.7826,0.7826
3.8057,0.5357,0.8276,0.8276
3.8557,0.5857,0.8544,0.8544
3.7557,0.4857,0.8062,0.8062
3.7057,0.4857,0.7632,0.7632
3.6557,0.4357,0.7500,0.7500
3.7057,0.4357,0.7906,0.7906
3.7557,0.4357,0.8322,0.8322
3.8057,0.4857,0.8500,0.8500
3.7057,0.3857,0.8201,0.8201
3.6557,0.3857,0.7810,0.7810
3.6057,0.3857,0.7433,0.7433
3.5557,0.3357,0.7433,0.7433
3.6057,0.3357,0.7778,0.7778
3.6557,0.3357,0.8139,0.8139
3.7057,0.3357,0.8515,0.8515
3.6557,0.2857,0.8485,0.8485
3.6057,0.2857,0.8139,0.8139
3.5557,0.2857,0.7810,0.7810
3.5057,0.2857,0.7500,0.7500
3.4557,0.2357,0.7632,0.7632
3.4057,0.2357,0.7382,0.7382
3.3557,0.1857,0.7433,0.7433
3.3057,0.1857,0.7106,0.7106
3.2557,0.1357,0.7211,0.7211
3.3057,0.1357,0.7500,0.7500
3.3557,0.1357,0.7810,0.7810
3.4057,0.1857,0.7778,0.7778
3.4557,0.1857,0.8062,0.8062
3.5057,0.2357,0.7906,0.7906
3.5557,0.2357,0.8201,0.8201
3.6057,0.2357,0.8515,0.8515
3.5057,0.1857,0.8322,0.8322
3.4557,0.1357,0.8485,0.8485
3.4057,0.1357,0.8139,0.8139
3.3557,0.0857,0.8201,0.8201
3.3057,0.0857,0.7906,0.7906
3.2557,0.0857,0.7632,0.7632
3.2057,0.0857,0.7382,0.7382
3.1557,0.0857,0.7159,0.7159
3.1057,0.0357,0.7433,0.7433
3.0557,0.0357,0.7280,0.7280
3.0057,0.0357,0.7159,0.7159
2.9557,-0.0143,0.7566,0.7566
2.9057,-0.0143,0.7433,0.7433
2.8557,-0.0143,0.7280,0.7280
2.8057,-0.0143,0.7159,0.7159
2.7557,-0.0143,0.7071,0.7071
2.7057,-0.0643,0.7517,0.7517
