# x_m,y_m,w_tr_right_m,w_tr_left_m
-29.1500,10.7000,0.8246,0.8246
-29.1000,10.7000,0.8732,0.8732
-29.0500,10.7500,0.8062,0.8062
-29.0500,10.7000,0.8246,0.8246
-29.1000,10.6500,0.8631,0.8631
-29.0500,10.6500,0.8382,0.8382
-29.0000,10.6500,0.7906,0.7906
-29.0500,10.6000,0.8544,0.8544
-29.1000,10.6000,0.8544,0.8544
-29.1000,10.5500,0.8382,0.8382
-29.0500,10.5500,0.8732,0.8732
-29.0000,10.6000,0.8078,0.8078
-29.0000,10.5500,0.8246,0.8246
-29.0500,10.5000,0.8732,0.8732
-29.0000,10.5000,0.8382,0.8382
-28.9500,10.5000,0.7906,0.7906
-29.0000,10.4500,0.8544,0.8544
-29.0500,10.4500,0.8631,0.8631
-29.0500,10.4000,0.8559,0.8559
-29.0000,10.4000,0.8732,0.8732
-28.9500,10.4500,0.8078,0.8078
-28.9500,10.4000,0.8246,0.8246
-29.0000,10.3500,0.8860,0.8860
-29.0500,10.3500,0.8515,0.8515
-29.0500,10.3000,0.8500,0.8500
-29.0000,10.3000,0.9000,0.9000
-28.9500,10.3500,0.8382,0.8382
-28.9500,10.3000,0.8544,0.8544
-29.0000,10.2500,0.9014,0.9014
-29.0500,10.2500,0.8515,0.8515
-29.0500,10.2000,0.8559,0.8559
-29.0000,10.2000,0.9055,0.9055
-28.9500,10.2500,0.8732,0.8732
-28.9500,10.2000,0.8944,0.8944
-29.0000,10.1500,0.9124,0.9124
-29.0500,10.1500,0.8631,0.8631
-29.0500,10.1000,0.8732,0.8732
-29.0000,10.1000,0.9220,0.9220
-28.9500,10.1500,0.9124,0.9124
-28.9500,10.1000,0.9220,0.9220
-29.0000,10.0500,0.9341,0.9341
-29.0500,10.0500,0.8860,0.8860
-29.0500,10.0000,0.9014,0.9014
-29.0000,10.0000,0.9487,0.9487
-28.9500,10.0500,0.9341,0.9341
-28.9500,10.0000,0.9487,0.9487
-29.0000,9.9500,0.9657,0.9657
-29.0500,9.9500,0.9192,0.9192
-29.1000,9.9000,0.8860,0.8860
-29.0500,9.9000,0.9341,0.9341
-29.0000,9.9000,0.9552,0.9552
-28.9500,9.9500,0.9394,0.9394
-29.0500,9.8500,0.9487,0.9487
-29.1000,9.8500,0.9014,0.9014
-29.1000,9.8000,0.9192,0.9192
-29.0500,9.8000,0.9192,0.9192
-29.0000,9.8500,0.9192,0.9192
-29.0000,9.8000,0.8846,0.8846
-29.0500,9.7500,0.8846,0.8846
-29.1000,9.7500,0.9192,0.9192
-29.1500,9.7500,0.8944,0.8944
-29.1500,9.7000,0.9179,0.9179
-29.1000,9.7000,0.8846,0.8846
-29.0500,9.7000,0.8485,0.8485
-29.1000,9.6500,0.8485,0.8485
-29.1500,9.6500,0.8846,0.8846
-29.2000,9.6500,0.8944,0.8944
-29.2500,9.6000,0.8732,0.8732
-29.2000,9.6000,0.8846,0.8846
-29.1500,9.6000,0.8485,0.8485
-29.2000,9.5500,0.8485,0.8485
-29.2500,9.5500,0.8846,0.8846
-29.3000,9.5000,0.8732,0.8732
-29.2500,9.5000,0.8485,0.8485
-29.2000,9.5000,0.8139,0.8139
-29.1500,9.5500,0.8139,0.8139
-29.2500,9.4500,0.8139,0.8139
-29.3000,9.4500,0.8485,0.8485
-29.3500,9.4500,0.8500,0.8500
-29.3500,9.4000,0.8485,0.8485
-29.3000,9.4000,0.8139,0.8139
-29.2500,9.4000,0.7778,0.7778
-29.3000,9.3500,0.7778,0.7778
-29.3500,9.3500,0.8139,0.8139
-29.4000,9.3500,0.8485,0.8485
-29.4500,9.3000,0.8485,0.8485
-29.4000,9.3000,0.8139,0.8139
-29.3500,9.3000,0.7778,0.7778
-29.4000,9.2500,0.7778,0.7778
-29.4500,9.2500,0.8139,0.8139
-29.5000,9.2500,0.8322,0.8322
-29.5500,9.2000,0.8201,0.8201
-29.5000,9.2000,0.8201,0.8201
-29.4500,9.2000,0.7810,0.7810
-29.5000,9.1500,0.7906,0.7906
-29.5500,9.1500,0.8322,0.8322
-29.6000,9.1500,0.8139,0.8139
-29.6500,9.1000,0.8139,0.8139
-29.6000,9.1000,0.8485,0.8485
-29.5500,9.1000,0.8062,0.8062
-29.6000,9.0500,0.8139,0.8139
-29.6500,9.0500,0.8485,0.8485
-29.7000,9.0500,0.8139,0.8139
-29.7500,9.0000,0.8139,0.8139
-29.7000,9.0000,0.8485,0.8485
-29.6500,9.0000,0.8139,0.8139
-29.7000,8.9500,0.8062,0.8062
-29.7500,8.9500,0.8322,0.8322
-29.8000,8.9500,0.8139,0.8139
-29.8500,8.9000,0.8139,0.8139
-29.9000,8.9000,0.7778,0.7778
-29.9500,8.8500,0.7778,0.7778
-29.9000,8.8500,0.8139,0.8139
-29.8500,8.8500,0.8139,0.8139
-29.8000,8.9000,0.8201,0.8201
-29.7500,8.9000,0.7906,0.7906
-29.8000,8.8500,0.7810,0.7810
-29.8500,8.8000,0.7778,0.7778
-29.9000,8.8000,0.8139,0.8139
-29.9500,8.8000,0.8139,0.8139
-30.0000,8.8000,0.7778,0.7778
-30.0500,8.7500,0.7778,0.7778
-30.0000,8.7500,0.8139,0.8139
-29.9500,8.7500,0.8139,0.8139
-30.0000,8.7000,0.8139,0.8139
-30.0500,8.7000,0.8139,0.8139
-30.1000,8.7000,0.7810,0.7810
-30.1500,8.6500,0.7906,0.7906
-30.1000,8.6500,0.8201,0.8201
-30.0500,8.6500,0.8139,0.8139
-30.1000,8.6000,0.8139,0.8139
-30.1500,8.6000,0.8322,0.8322
-30.2000,8.6000,0.8062,0.8062
-30.2500,8.5500,0.8139,0.8139
-30.2000,8.5500,0.8485,0.8485
-30.1500,8.5500,0.8139,0.8139
-30.2000,8.5000,0.8139,0.8139
-30.2500,8.5000,0.8485,0.8485
-30.3000,8.5000,0.8201,0.8201
-30.3500,8.4500,0.8322,0.8322
-30.4000,8.4500,0.8062,0.8062
-30.4500,8.4000,0.8139,0.8139
-30.4000,8.4000,0.8485,0.8485
-30.3500,8.4000,0.8322,0.8322
-30.3000,8.4500,0.8485,0.8485
-30.2500,8.4500,0.8139,0.8139
-30.3000,8.4000,0.8062,0.8062
-30.3500,8.3500,0.7906,0.7906
-30.4000,8.3500,0.8201,0.8201
-30.4500,8.3500,0.8485,0.8485
-30.5000,8.3500,0.8139,0.8139
-30.5500,8.3000,0.8201,0.8201
-30.5000,8.3000,0.8485,0.8485
-30.4500,8.3000,0.8139,0.8139
-30.5000,8.2500,0.8139,0.8139
-30.5500,8.2500,0.8485,0.8485
-30.6000,8.2500,0.8322,0.8322
-30.6500,8.2500,0.8062,0.8062
-30.7000,8.2000,0.8201,0.8201
-30.6500,8.2000,0.8500,0.8500
-30.6000,8.2000,0.8485,0.8485
-30.5500,8.2000,0.8139,0.8139
-30.6000,8.1500,0.8062,0.8062
-30.6500,8.1500,0.8322,0.8322
-30.7000,8.1500,0.8602,0.8602
-30.7500,8.1500,0.8322,0.8322
-30.8000,8.1000,0.8485,0.8485
-30.8500,8.1000,0.8139,0.8139
-30.9000,8.0500,0.8201,0.8201
-30.8500,8.0500,0.8515,0.8515
-30.8000,8.0500,0.8485,0.8485
-30.7500,8.1000,0.8515,0.8515
-30.7000,8.1000,0.8201,0.8201
-30.7500,8.0500,0.8139,0.8139
-30.8000,8.0000,0.8062,0.8062
-30.8500,8.0000,0.8322,0.8322
-30.9000,8.0000,0.8602,0.8602
-30.9500,8.0000,0.8322,0.8322
-31.0000,7.9500,0.8485,0.8485
-30.9500,7.9500,0.8515,0.8515
-30.9000,7.9500,0.8201,0.8201
-30.9500,7.9000,0.8139,0.8139
-31.0000,7.9000,0.8485,0.8485
-31.0500,7.9000,0.8485,0.8485
-31.1000,7.8500,0.8515,0.8515
-31.1500,7.8500,0.8201,0.8201
-31.2000,7.8000,0.8322,0.8322
-31.1500,7.8000,0.8602,0.8602
-31.1000,7.8000,0.8322,0.8322
-31.0500,7.8500,0.8485,0.8485
-31.0000,7.8500,0.8139,0.8139
-31.0500,7.8000,0.8062,0.8062
-31.1000,7.7500,0.7906,0.7906
-31.1500,7.7500,0.8201,0.8201
-31.2000,7.7500,0.8515,0.8515
-31.2500,7.7500,0.8500,0.8500
-31.3000,7.7500,0.8276,0.8276
-31.3500,7.7000,0.8485,0.8485
-31.3000,7.7000,0.8732,0.8732
-31.2500,7.7000,0.8485,0.8485
-31.2000,7.7000,0.8139,0.8139
-31.2500,7.6500,0.8062,0.8062
-31.3000,7.6500,0.8322,0.8322
-31.3500,7.6500,0.8602,0.8602
-31.4000,7.6500,0.8515,0.8515
-31.4500,7.6000,0.8602,0.8602
-31.4000,7.6000,0.8515,0.8515
-31.3500,7.6000,0.8201,0.8201
-31.4000,7.5500,0.8139,0.8139
-31.4500,7.5500,0.8485,0.8485
-31.5000,7.5500,0.8746,0.8746
-31.5500,7.5500,0.8485,0.8485
-31.6000,7.5000,0.8515,0.8515
-31.5500,7.5000,0.8846,0.8846
-31.5000,7.5000,0.8485,0.8485
-31.4500,7.5000,0.8139,0.8139
-31.5000,7.4500,0.8139,0.8139
-31.5500,7.4500,0.8485,0.8485
-31.6000,7.4500,0.8746,0.8746
-31.6500,7.4500,0.8602,0.8602
-31.7000,7.4500,0.8322,0.8322
-31.7500,7.4000,0.8485,0.8485
-31.7000,7.4000,0.8746,0.8746
-31.6500,7.4000,0.8602,0.8602
-31.6000,7.4000,0.8322,0.8322
-31.6500,7.3500,0.8201,0.8201
-31.7000,7.3500,0.8500,0.8500
-31.7500,7.3500,0.8746,0.8746
-31.8000,7.3500,0.8515,0.8515
-31.8500,7.3000,0.8602,0.8602
-31.8000,7.3000,0.8602,0.8602
-31.7500,7.3000,0.8322,0.8322
-31.8000,7.2500,0.8201,0.8201
-31.8500,7.2500,0.8515,0.8515
-31.9000,7.2500,0.8746,0.8746
-31.9500,7.2500,0.8500,0.8500
-32.0000,7.2000,0.8602,0.8602
-31.9500,7.2000,0.8846,0.8846
-31.9000,7.2000,0.8485,0.8485
-31.8500,7.2000,0.8139,0.8139
-31.9000,7.1500,0.8139,0.8139
-31.9500,7.1500,0.8485,0.8485
-32.0000,7.1500,0.8746,0.8746
-32.0500,7.1500,0.8746,0.8746
-32.1000,7.1500,0.8500,0.8500
-32.1500,7.1000,0.8602,0.8602
-32.1000,7.1000,0.8902,0.8902
-32.0500,7.1000,0.8602,0.8602
-32.0000,7.1000,0.8322,0.8322
-32.0500,7.0500,0.8201,0.8201
-32.1000,7.0500,0.8500,0.8500
-32.1500,7.0500,0.8746,0.8746
-32.2000,7.0500,0.8746,0.8746
-32.2500,7.0500,0.8500,0.8500
-32.3000,7.0000,0.8602,0.8602
-32.2500,7.0000,0.8902,0.8902
-32.2000,7.0000,0.8602,0.8602
-32.1500,7.0000,0.8322,0.8322
-32.2000,6.9500,0.8201,0.8201
-32.2500,6.9500,0.8515,0.8515
-32.3000,6.9500,0.8846,0.8846
-32.3500,6.9500,0.8746,0.8746
-32.4000,6.9500,0.8485,0.8485
-32.4500,6.9000,0.8515,0.8515
-32.4000,6.9000,0.8846,0.8846
-32.3500,6.9000,0.8846,0.8846
-32.3000,6.9000,0.8485,0.8485
-32.3500,6.8500,0.8485,0.8485
-32.4000,6.8500,0.8746,0.8746
-32.4500,6.8500,0.8902,0.8902
-32.5000,6.8500,0.8602,0.8602
-32.5500,6.8500,0.8322,0.8322
-32.6000,6.8000,0.8485,0.8485
-32.5500,6.8000,0.8746,0.8746
-32.5000,6.8000,0.8902,0.8902
-32.4500,6.8000,0.8602,0.8602
-32.5000,6.7500,0.8500,0.8500
-32.5500,6.7500,0.8746,0.8746
-32.6000,6.7500,0.8846,0.8846
-32.6500,6.7500,0.8515,0.8515
-32.7000,6.7500,0.8201,0.8201
-32.7500,6.7000,0.8322,0.8322
-32.7000,6.7000,0.8602,0.8602
-32.6500,6.7000,0.8902,0.8902
-32.6000,6.7000,0.8602,0.8602
-32.6500,6.6500,0.8500,0.8500
-32.7000,6.6500,0.8746,0.8746
-32.7500,6.6500,0.8746,0.8746
-32.8000,6.6500,0.8500,0.8500
-32.8500,6.6500,0.8201,0.8201
-32.9000,6.6000,0.8322,0.8322
-32.8500,6.6000,0.8602,0.8602
-32.8000,6.6000,0.8902,0.8902
-32.7500,6.6000,0.8602,0.8602
-32.8000,6.5500,0.8500,0.8500
-32.8500,6.5500,0.8732,0.8732
-32.9000,6.5500,0.8746,0.8746
-32.9500,6.5500,0.8500,0.8500
-33.0000,6.5500,0.8201,0.8201
-33.0500,6.5000,0.8322,0.8322
-33.0000,6.5000,0.8602,0.8602
-32.9500,6.5000,0.8746,0.8746
-32.9000,6.5000,0.8500,0.8500
-32.9500,6.4500,0.8322,0.8322
-33.0000,6.4500,0.8602,0.8602
-33.0500,6.4500,0.8746,0.8746
-33.1000,6.4500,0.8500,0.8500
-33.1500,6.4000,0.8602,0.8602
-33.2000,6.4000,0.8322,0.8322
-33.2500,6.3500,0.8500,0.8500
-33.2000,6.3500,0.8746,0.8746
-33.1500,6.3500,0.8846,0.8846
-33.1000,6.4000,0.8846,0.8846
-33.0500,6.4000,0.8515,0.8515
-33.1000,6.3500,0.8485,0.8485
-33.1500,6.3000,0.8485,0.8485
-33.2000,6.3000,0.8732,0.8732
-33.2500,6.3000,0.8944,0.8944
-33.3000,6.3000,0.8732,0.8732
-33.3500,6.3000,0.8500,0.8500
-33.4000,6.2500,0.8602,0.8602
-33.3500,6.2500,0.8902,0.8902
-33.3000,6.2500,0.8732,0.8732
-33.2500,6.2500,0.8500,0.8500
-33.3000,6.2000,0.8276,0.8276
-33.3500,6.2000,0.8500,0.8500
-33.4000,6.2000,0.8732,0.8732
-33.4500,6.2000,0.8746,0.8746
-33.5000,6.2000,0.8500,0.8500
-33.5500,6.1500,0.8732,0.8732
-33.6000,6.1500,0.8500,0.8500
-33.6500,6.1000,0.8602,0.8602
-33.6000,6.1000,0.8902,0.8902
-33.5500,6.1000,0.8602,0.8602
-33.5000,6.1500,0.8746,0.8746
-33.4500,6.1500,0.8500,0.8500
-33.4000,6.1500,0.8276,0.8276
-33.4500,6.1000,0.8062,0.8062
-33.5000,6.1000,0.8322,0.8322
-33.5500,6.0500,0.8201,0.8201
-33.6000,6.0500,0.8500,0.8500
-33.6500,6.0500,0.8746,0.8746
-33.7000,6.0500,0.8746,0.8746
-33.7500,6.0500,0.8500,0.8500
-33.8000,6.0000,0.8732,0.8732
-33.8500,6.0000,0.8485,0.8485
-33.9000,5.9500,0.8515,0.8515
-33.8500,5.9500,0.8846,0.8846
-33.8000,5.9500,0.8732,0.8732
-33.7500,6.0000,0.8902,0.8902
-33.7000,6.0000,0.8602,0.8602
-33.6500,6.0000,0.8322,0.8322
-33.7000,5.9500,0.8201,0.8201
-33.7500,5.9500,0.8500,0.8500
-33.8000,5.9000,0.8276,0.8276
-33.8500,5.9000,0.8500,0.8500
-33.9000,5.9000,0.8746,0.8746
-33.9500,5.9000,0.8602,0.8602
-34.0000,5.9000,0.8322,0.8322
-34.0500,5.8500,0.8500,0.8500
-34.0000,5.8500,0.8746,0.8746
-33.9500,5.8500,0.8602,0.8602
-33.9000,5.8500,0.8322,0.8322
-33.9500,5.8000,0.8201,0.8201
-34.0000,5.8000,0.8515,0.8515
-34.0500,5.8000,0.8846,0.8846
-34.1000,5.8000,0.8602,0.8602
-34.1500,5.8000,0.8322,0.8322
-34.2000,5.7500,0.8500,0.8500
-34.1500,5.7500,0.8746,0.8746
-34.1000,5.7500,0.8732,0.8732
-34.0500,5.7500,0.8485,0.8485
-34.1000,5.7000,0.8276,0.8276
-34.1500,5.7000,0.8500,0.8500
-34.2000,5.7000,0.8732,0.8732
-34.2500,5.7000,0.8602,0.8602
-34.3000,5.7000,0.8322,0.8322
-34.3500,5.6500,0.8500,0.8500
-34.3000,5.6500,0.8746,0.8746
-34.2500,5.6500,0.8500,0.8500
-34.2000,5.6500,0.8276,0.8276
-34.2500,5.6000,0.8062,0.8062
-34.3000,5.6000,0.8322,0.8322
-34.3500,5.6000,0.8602,0.8602
-34.4000,5.6000,0.8602,0.8602
-34.4500,5.6000,0.8322,0.8322
-34.5000,5.5500,0.8500,0.8500
-34.4500,5.5500,0.8746,0.8746
-34.4000,5.5500,0.8515,0.8515
-34.3500,5.5500,0.8201,0.8201
-34.4000,5.5000,0.8139,0.8139
-34.4500,5.5000,0.8485,0.8485
-34.5000,5.5000,0.8846,0.8846
-34.5500,5.5000,0.8602,0.8602
-34.6000,5.5000,0.8322,0.8322
-34.6500,5.4500,0.8500,0.8500
-34.6000,5.4500,0.8746,0.8746
-34.5500,5.4500,0.8846,0.8846
-34.5000,5.4500,0.8485,0.8485
-34.5500,5.4000,0.8485,0.8485
-34.6000,5.4000,0.8732,0.8732
-34.6500,5.4000,0.8902,0.8902
-34.7000,5.4000,0.8602,0.8602
-34.7500,5.4000,0.8322,0.8322
-34.8000,5.3500,0.8500,0.8500
-34.7500,5.3500,0.8746,0.8746
-34.7000,5.3500,0.8746,0.8746
-34.6500,5.3500,0.8500,0.8500
-34.7000,5.3000,0.8322,0.8322
-34.7500,5.3000,0.8602,0.8602
-34.8000,5.3000,0.8902,0.8902
